message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,promotion,User has opted out of business marketing promotions.,0.95,message_0243
msg_091,mute,scam,"The message requests urgent payment, unverified link clicks, or screenshot submission under threat of service cutoff.",0.87,message_0238
msg_090,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0339
msg_048,mute,scam,The message asks for urgent payment or verification through a suspicious penalty threat flow.,0.87,message_0151
msg_040,digest,personal,Safe non-urgent group conversation or peer notice.,0.82,message_0136
msg_075,mute,event,User has opted out of business marketing promotions.,0.95,message_0206;message_0205
msg_005,digest,personal,Safe non-urgent group conversation or peer notice.,0.82,message_0065;message_0382
msg_104,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0224;message_0383
msg_069,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0080;message_0177
msg_107,mute,scam,The message contains fake system/metadata headers or instructions intended to deceive the router.,0.9,message_0213;message_0235
msg_070,mute,scam,"The message asks for urgent OTP, password, or account verification through a suspicious flow.",0.87,message_0369
msg_003,mute,business_update,User has opted out of business marketing promotions.,0.95,message_0400;message_0031
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0227
msg_008,digest,business_update,"A business account is sending a transactional statement, refund update, or service feedback request.",0.88,message_0296
msg_092,mute,business_update,User has opted out of business marketing promotions.,0.95,message_0346
msg_060,digest,personal,Safe non-urgent group conversation or peer notice.,0.82,message_0284
msg_004,mute,event,User has opted out of business marketing promotions.,0.95,message_0245;message_0005
msg_030,digest,personal,Safe non-urgent group conversation or peer notice.,0.82,message_0115
msg_045,notify,urgent,Delivery agent is at the door requiring flat clearance or entry confirmation.,0.88,message_0061
msg_052,mute,business_update,User has opted out of business marketing promotions.,0.95,message_0208;message_0207
msg_009,digest,personal,Safe non-urgent group conversation or peer notice.,0.82,message_0074
msg_071,digest,personal,Safe non-urgent group conversation or peer notice.,0.82,message_0197;message_0198
msg_016,mute,scam,"The message requests urgent payment, unverified link clicks, or screenshot submission under threat of service cutoff.",0.87,message_0024
msg_065,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0261
msg_038,mute,spam,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0342;message_0131
